Depot,Month,Operated Schedule (Latest),Operated Schedule vs Apr %,Operated Schedule MoM %,Effective KM (Latest),Effective KM vs Apr %,Effective KM MoM %,EPKM (Incl. VOC) (Latest),EPKM (Incl. VOC) vs Apr %,EPKM (Incl. VOC) MoM %,CPKM (Latest),CPKM vs Apr %,CPKM MoM %,Margin / KM (Latest),Margin / KM vs Apr %,Margin / KM MoM %
Baramati MIDC,Jun,27.53,0.9534286762009592,-0.6495849873691784,3.41,2.710843373493985,-7.336956521739135,60.25219941348973,15.421673332632778,1.222594769067431,58.89442815249267,-4.694140443421879,2.706613402129188,1.357771260997066,-114.15322005183755,-37.77586250972351
Daund,Jun,34.3,4.668904485810174,1.3593380614657091,4.07,0.24630541871922848,-4.235294117647048,57.26781326781327,6.172574942838406,-0.0869431903914641,55.22113022113022,5.554514452819516,3.4194700743856776,2.0466830466830497,26.0930678229617,-47.82001830592101
Pimpri Chinchwad,Jun,53.97,2.4681982153028232,2.839176829268286,6.55,2.8257456828885354,-5.890804597701149,62.00610687022901,6.915762326654251,-8.195770210641806,62.9557251908397,2.334380286222535,3.2134000726083745,-0.9496183206106912,-73.05537326374117,-114.50689971784551
Saswad,Jun,39.77,-1.1434253044991147,-3.1417437895762235,4.99,1.2170385395537628,-6.378986866791747,59.8436873747495,15.012232479929452,3.982674395245267,62.3627254509018,0.7564516198944343,2.416677446712856,-2.5190380761523032,-74.45730622083329,-24.57037670847322
Gaganbawada,Jun,16.0,0.0,0.0,1.82,1.6759776536312863,-4.210526315789465,64.28021978021978,12.397766344235041,2.5116817042282857,69.21428571428571,6.465215629948793,6.371546434637909,-4.934065934065936,-36.91444270015696,108.79120879120912
Ajra,Jun,39.0,2.631578947368421,0.0,4.14,0.0,-9.80392156862746,52.24637681159421,7.414212643392772,-5.355249204665946,69.67149758454107,5.501097293343112,8.078060736437042,-17.42512077294686,0.15271414688326168,88.14703445736554
Shivajinagar,Jun,138.97,0.7759245830311771,1.46017376067753,18.96,5.3333333333333375,-0.7849293563579218,73.46993670886076,0.7641444312834706,-8.686995765662331,66.67405063291139,0.949910113421906,0.5461646434665512,6.795886075949362,-1.022777435805205,-51.96427618309205
Narayangaon,Jun,64.2,5.766062602965404,2.7528809218950068,6.48,7.462686567164181,-2.262443438914019,64.92438271604938,3.88590361623398,5.118234244403364,64.00154320987654,-0.926912369575507,1.5387010005938118,0.9228395061728336,-143.85123894580133,-172.75179460078368
Bhor,Jun,36.0,-0.8264462809917278,-0.0832639467110762,4.21,5.513784461152875,-4.966139954853266,59.02850356294537,3.173177333166298,4.761936935158029,67.51068883610452,1.7134193467722918,2.082927106510213,-8.482185273159153,-7.40377772939797,-13.339297140002229
Pargaon Khandala,Jun,33.5,14.334470989761089,8.16919599612529,3.65,6.104651162790697,-2.406417112299475,55.97260273972604,9.806531750588888,0.4354144060717768,71.28493150684932,7.888672789635119,5.440238811792164,-15.312328767123285,1.4139602597306582,28.92415486051576
Vaduj,Jun,51.0,9.98490403277982,4.5724830838630215,5.59,-1.757469244288234,-8.210180623973729,59.776386404293376,11.272823188546246,-1.4061172704962654,66.49373881932021,9.232720467110898,8.663894544533912,-6.717352415026836,-6.089102600730447,1092.6727757292522
Solapur,Jun,109.23,4.356549154485529,-2.6730820636193475,14.59,4.438081603435928,-7.070063694267514,59.455791638108295,6.4704672594437875,-1.4229215762199598,71.54489376285126,2.9332817576758137,5.044826297029381,-12.089102124742968,-11.523073825094666,55.08980499956249
Dahiwadi,Jun,53.37,3.691470759665822,2.63461538461538,5.28,-1.8587360594795475,-8.808290155440412,59.60606060606061,2.5915305075840047,1.3714468818008418,67.55492424242424,6.719959015809948,4.271436170728382,-7.9488636363636305,52.84090909090887,32.74854472035016
Mahableshwar,Jun,51.1,18.20495026601898,10.010764262647998,4.93,0.0,-6.805293005671087,56.63286004056796,8.650815270265037,-11.051385168313155,64.18661257606492,1.7590121233559524,2.264006423330245,-7.55375253549696,-31.037037037037024,-935.9696843677546
Medha,Jun,47.13,7.676490747087045,0.6836146122623399,5.14,-1.5325670498084305,-11.531841652323582,56.964980544747085,8.5324470558361,-2.11855293378862,61.61284046692607,5.269385715290027,7.95578971405666,-4.647859922178986,-23.076002556200596,-512.906210211924
Akluj,Jun,58.4,3.234930175004416,-2.292119792538072,6.34,5.140961857379761,-8.381502890173408,60.81545741324921,7.9850436401333225,2.988758852674689,62.69242902208202,1.9265407541736346,4.663838077878779,-1.876971608832813,-63.828255668706056,121.27161044502652
Karmala,Jun,51.1,-3.893172841828099,-7.477820025348536,5.32,-0.1876172607879885,-8.275862068965512,62.37593984962405,17.5947083328014,5.095413411520888,67.28947368421052,5.145967381073605,6.149249971012316,-4.913533834586474,-55.14022723818789,21.63250636193572
Akkalkot,Jun,59.4,10.552763819095482,-0.2518891687657398,7.35,13.425925925925913,-6.369426751592355,61.02448979591836,7.359892997461783,-2.3757397803221725,62.21224489795919,-6.1078472752991475,1.719631428001822,-1.1877551020408188,-87.38873822509503,-188.04416950916385
Barshi,Jun,91.43,-0.6195652173912969,-0.1637912207905545,9.97,-0.9930486593843062,-8.448117539026633,61.1815446339017,6.243969453411881,-2.3498430216635446,65.89368104312939,6.54121932921967,4.242160806484652,-4.712136409227685,10.557347718832318,743.9994325080452
Pandharpur,Jun,97.2,0.6211180124223692,0.8089607965152457,11.42,4.0072859744990845,-10.501567398119116,65.80297723292469,23.458587225110335,-0.027862374134524,68.36252189141857,1.6522426759535067,6.7654528394919256,-2.559544658493872,-81.65428529913002,-242.9312465749749
Sangola,Jun,54.63,-0.43739748496445213,-1.991388589881593,6.52,1.2422360248447077,-8.426966292134841,62.45858895705522,6.242290777452619,3.3236880516340994,63.9355828220859,3.8501698381338927,5.472972588797864,-1.4769938650306742,-46.80178696421954,776.3496932515002
Kurduwadi,Jun,53.13,-1.9741697416974173,-1.792975970425137,6.34,1.9292604501607735,-6.3515509601181686,64.6813880126183,17.9957277799407,3.5208030367436915,63.04889589905363,1.9005151337179518,1.1591480593892811,1.6324921135646635,-123.13534050210116,952.5687246507288
Mangalvedha,Jun,58.63,0.6869311351537106,-0.4076779344317938,6.42,4.051863857374392,-4.035874439461895,64.38006230529595,8.751296179071357,7.081352698132837,60.8380062305296,0.10413847201653323,1.8355797738742077,3.5420560747663568,-324.8403907542012,829.2688290269343
